作者,作品,类型,风格,进度,字数,作品积分,发表时间,作品url
银发死鱼眼,从此男主改拿绿茶剧本,衍生-言情-架空历史-东方衍生,爆笑,完结,1430605,4122641152,2020-04-24 21:24:57,http://www.jjwxc.net/onebook.php?novelid=4778835
耳东兔子,三分野,原创-言情-近代现代-爱情,轻松,完结,427647,5880450048,2018-05-11 14:21:23,http://www.jjwxc.net/onebook.php?novelid=3583628
缘何故,反转人生[互穿],原创-言情-近代现代-爱情,轻松,完结,478147,5304758272,2018-01-01 17:35:13,http://www.jjwxc.net/onebook.php?novelid=3445323
蓬莱客,表妹万福,原创-言情-架空历史-爱情,正剧,完结,510707,4351367168,2017-09-12 08:52:06,http://www.jjwxc.net/onebook.php?novelid=3346178
笑佳人,国色生香,原创-言情-架空历史-爱情,轻松,完结,821761,4844642304,2016-04-10 11:30:34,http://www.jjwxc.net/onebook.php?novelid=2734828
西淅,豪门父母和顶流哥哥终于找到了我,原创-言情-近代现代-爱情,轻松,完结,540994,3809394432,2020-02-16 02:13:17,http://www.jjwxc.net/onebook.php?novelid=4560624
时镜,坤宁,原创-言情-架空历史-爱情,正剧,完结,1042010,5570141184,2016-10-28 17:45:48,http://www.jjwxc.net/onebook.php?novelid=2967663
退戈,凶案现场直播,原创-言情-幻想未来-悬疑,正剧,完结,569681,5169276416,2020-03-18 20:41:50,http://www.jjwxc.net/onebook.php?novelid=4658774
姜之鱼,青梅七分甜,原创-言情-近代现代-爱情,轻松,完结,289000,2584797440,2016-06-29 21:18:45,http://www.jjwxc.net/onebook.php?novelid=2826774
月下蝶影,皇城有宝珠,原创-言情-架空历史-爱情,轻松,完结,507845,4343651840,2021-01-11 17:22:09,http://www.jjwxc.net/onebook.php?novelid=5412000
时镜,我不成仙,原创-言情-古色古香-仙侠,正剧,完结,3216522,6141388288,2012-10-05 03:09:13,http://www.jjwxc.net/onebook.php?novelid=1640353
黍宁,穿成白月光替身后,原创-言情-架空历史-爱情,正剧,完结,1297415,6567065088,2019-04-17 13:25:24,http://www.jjwxc.net/onebook.php?novelid=4122694
陌言川,对你不止是喜欢,原创-言情-近代现代-爱情,正剧,完结,429158,4082852608,2016-08-13 16:06:59,http://www.jjwxc.net/onebook.php?novelid=2888375
凝陇,攻玉,原创-言情-架空历史-奇幻,正剧,完结,1163777,6441909248,2017-04-21 15:15:04,http://www.jjwxc.net/onebook.php?novelid=3167385
退戈,第一战场指挥官！,原创-言情-幻想未来-剧情,轻松,完结,1266297,5563566592,2017-08-10 16:30:34,http://www.jjwxc.net/onebook.php?novelid=2892217
月下蝶影,造作时光,原创-言情-架空历史-爱情,轻松,完结,613289,4729314816,2019-02-26 11:56:14,http://www.jjwxc.net/onebook.php?novelid=4053431
怀愫,重回九零,原创-言情-近代现代-剧情,轻松,完结,1086428,8067423232,2020-06-06 16:40:29,http://www.jjwxc.net/onebook.php?novelid=4889825
叶斐然,你也有今天,原创-言情-近代现代-爱情,轻松,完结,542691,4837933568,2018-05-09 14:59:23,http://www.jjwxc.net/onebook.php?novelid=3581942
素光同,天才女友,原创-言情-近代现代-爱情,轻松,完结,929343,7687423488,2019-11-27 13:34:31,http://www.jjwxc.net/onebook.php?novelid=4435966
糖中猫,所有人都知道我是好男人[快穿],原创-言情-近代现代-爱情,轻松,完结,3737127,6360682496,2019-09-24 17:42:56,http://www.jjwxc.net/onebook.php?novelid=4364236
栖见,以后少来我家玩,原创-言情-近代现代-爱情,轻松,完结,230529,1749706880,2012-08-01 14:23:54,http://www.jjwxc.net/onebook.php?novelid=1590059
江月年年,科学占星，唯物算命,原创-言情-近代现代-剧情,轻松,完结,568893,2924447232,2021-01-29 19:49:48,http://www.jjwxc.net/onebook.php?novelid=5463793
轻黯,办公室隐婚,原创-言情-近代现代-爱情,正剧,完结,622457,1998733824,2015-09-19 16:00:10,http://www.jjwxc.net/onebook.php?novelid=2568822
假面的盛宴,王府宠妾,原创-言情-架空历史-爱情,正剧,完结,924082,3980286208,2017-03-18 23:04:57,http://www.jjwxc.net/onebook.php?novelid=3132729
月下蝶影,人不可貌相,原创-言情-近代现代-爱情,轻松,完结,386311,4670775296,2017-02-26 21:45:47,http://www.jjwxc.net/onebook.php?novelid=3109031
暮沉霜,修真界禁止物种歧视,原创-言情-架空历史-仙侠,轻松,完结,862617,3909360384,2020-08-26 15:30:27,http://www.jjwxc.net/onebook.php?novelid=5128614
栖见,一见到你呀,原创-言情-近代现代-爱情,正剧,完结,251449,1681719680,2013-02-25 16:25:38,http://www.jjwxc.net/onebook.php?novelid=1741205
秋水麋鹿,同时攻略三个神明,原创-言情-架空历史-奇幻,轻松,完结,647662,3213087232,2020-07-07 11:44:07,http://www.jjwxc.net/onebook.php?novelid=4960220
女王不在家,福宝的七十年代,原创-言情-近代现代-爱情,正剧,完结,908118,3051112448,2016-06-10 20:54:53,http://www.jjwxc.net/onebook.php?novelid=2799243
轻云淡,无限生存游戏,衍生-言情-近代现代-其他衍生,轻松,完结,445300,2778052352,2018-04-10 18:26:46,http://www.jjwxc.net/onebook.php?novelid=3553681
叶斐然,你被开除了！,原创-言情-近代现代-爱情,轻松,完结,546783,5747528192,2019-05-06 22:35:22,http://www.jjwxc.net/onebook.php?novelid=4148415
耳东兔子,我曾在时光里听过你,原创-言情-近代现代-爱情,正剧,完结,356755,2474341632,2015-08-23 21:37:42,http://www.jjwxc.net/onebook.php?novelid=2549071
尾鱼,怨气撞铃,原创-言情-近代现代-惊悚,正剧,完结,797922,1433734272,2011-11-04 12:56:31,http://www.jjwxc.net/onebook.php?novelid=1361427
南岛樱桃,快穿之教你做人,原创-言情-近代现代-爱情,轻松,完结,1733164,3300286208,2016-03-17 15:54:38,http://www.jjwxc.net/onebook.php?novelid=2713183
南岛樱桃,我有一个祸水群,原创-言情-架空历史-剧情,轻松,完结,1202496,3248970240,2014-06-19 05:19:42,http://www.jjwxc.net/onebook.php?novelid=2147687
雾矢翊,与天同兽,原创-言情-架空历史-爱情,轻松,完结,2784525,3148561664,2016-02-13 12:03:00,http://www.jjwxc.net/onebook.php?novelid=2680387
红九,水与火（原名服不服）,原创-言情-近代现代-爱情,轻松,完结,860208,5794157056,2017-10-25 15:01:39,http://www.jjwxc.net/onebook.php?novelid=3385386
明开夜合,北城有雪,原创-言情-近代现代-爱情,正剧,完结,332631,2171855104,2021-01-18 02:25:18,http://www.jjwxc.net/onebook.php?novelid=5429502
九重雪,我有九个仙风道骨的师兄,原创-言情-架空历史-仙侠,轻松,完结,824163,2287403264,2015-10-16 08:09:32,http://www.jjwxc.net/onebook.php?novelid=2586232
轻云淡,无限破产危机,衍生-言情-近代现代-西方衍生,轻松,完结,208620,2011206400,2019-07-08 08:30:44,http://www.jjwxc.net/onebook.php?novelid=4244418
风流书呆,忽如一夜病娇来,原创-言情-架空历史-爱情,轻松,完结,467768,2273548800,2014-10-15 00:49:19,http://www.jjwxc.net/onebook.php?novelid=2261898
维和粽子,一朵花开百花杀,原创-言情-架空历史-爱情,轻松,完结,668169,1763415808,2014-10-18 04:34:31,http://www.jjwxc.net/onebook.php?novelid=2267777
月下蝶影,妃嫔这职业,原创-言情-架空历史-爱情,正剧,完结,360775,2521456128,2012-04-12 00:03:51,http://www.jjwxc.net/onebook.php?novelid=1490595
叶斐然,劝你趁早喜欢我,原创-言情-近代现代-爱情,轻松,完结,495798,5686509056,2019-09-06 09:32:36,http://www.jjwxc.net/onebook.php?novelid=4342817
退戈,第一战场分析师！,原创-言情-幻想未来-剧情,轻松,连载,278505,2623257856,2020-10-05 00:51:17,http://www.jjwxc.net/onebook.php?novelid=5214228
君子以泽,她的4.3亿年,原创-言情-近代现代-爱情,轻松,完结,879880,10273063936,2018-07-03 17:07:11,http://www.jjwxc.net/onebook.php?novelid=3642255
顾漫,微微一笑很倾城,原创-言情-近代现代-爱情,轻松,连载,172608,784524928,2008-08-30 23:06:35,http://www.jjwxc.net/onebook.php?novelid=370832
轻云淡,末日领主,原创-言情-幻想未来-轻小说,轻松,完结,359110,2731836672,2019-10-05 08:59:44,http://www.jjwxc.net/onebook.php?novelid=4375938
曲奇碎可可,听说我超凶的[综恐],衍生-言情-近代现代-其他衍生,正剧,完结,557565,1965388416,2018-03-21 18:11:11,http://www.jjwxc.net/onebook.php?novelid=3531934
轻云淡,无限求生,原创-言情-近代现代-轻小说,轻松,完结,354150,2196641024,2018-07-08 18:32:37,http://www.jjwxc.net/onebook.php?novelid=3649689
大团团,[清]再不努力就要被迫继承皇位了,衍生-言情-架空历史-东方衍生,轻松,完结,1403257,1996428544,2019-08-13 10:44:31,http://www.jjwxc.net/onebook.php?novelid=4306711
轻云淡,异界领主生活,原创-言情-幻想未来-轻小说,轻松,完结,351360,1864786944,2019-01-12 08:04:10,http://www.jjwxc.net/onebook.php?novelid=3990370
祈祷君,木兰无长兄,原创-言情-古色古香-爱情,轻松,完结,3206317,1517845760,2014-08-30 16:57:12,http://www.jjwxc.net/onebook.php?novelid=2214297
笑佳人,嫁金钗,原创-言情-架空历史-爱情,轻松,完结,560750,1967088256,2020-10-13 14:55:00,http://www.jjwxc.net/onebook.php?novelid=5232687
时镜,我本闲凉,原创-言情-架空历史-爱情,轻松,完结,880672,2124538880,2014-04-17 18:59:29,http://www.jjwxc.net/onebook.php?novelid=2102446
锦橙,男扮女装的绿茶想攻略我,原创-言情-近代现代-爱情,轻松,完结,422146,1662373632,2015-01-02 17:41:56,http://www.jjwxc.net/onebook.php?novelid=2332388
轻云淡,无限建城,原创-言情-幻想未来-轻小说,轻松,完结,319800,1957127168,2019-03-06 19:29:05,http://www.jjwxc.net/onebook.php?novelid=4065461
栖见,每日一表白,原创-言情-近代现代-爱情,轻松,完结,176774,1140000768,2012-10-03 16:32:56,http://www.jjwxc.net/onebook.php?novelid=1639058
七宝酥,庸俗童话,原创-言情-近代现代-爱情,正剧,完结,303471,2746118144,2013-12-08 14:22:56,http://www.jjwxc.net/onebook.php?novelid=1971090
女王不在家,半路杀出个侯夫人,原创-言情-架空历史-爱情,轻松,完结,706581,2414176512,2015-06-20 22:10:45,http://www.jjwxc.net/onebook.php?novelid=2482792
白灵子,攻略诅咒之王后我死遁了,衍生-言情-近代现代-东方衍生,正剧,连载,285464,1504461824,2020-12-27 02:08:42,http://www.jjwxc.net/onebook.php?novelid=5376362
墨宝非宝,至此终年,原创-言情-近代现代-爱情,轻松,完结,227914,796587072,2011-10-26 00:26:06,http://www.jjwxc.net/onebook.php?novelid=1353170
未西归,表演科今天也想与侦探同归于尽,衍生-言情-近代现代-东方衍生,爆笑,连载,775333,1478038016,2020-11-17 09:25:36,http://www.jjwxc.net/onebook.php?novelid=5297620
寒菽,袖中美人,原创-言情-架空历史-爱情,轻松,完结,484938,1758574592,2015-02-06 19:26:48,http://www.jjwxc.net/onebook.php?novelid=2380386
笑佳人,锦衣香闺,原创-言情-架空历史-爱情,轻松,完结,409629,2063814016,2015-08-05 16:12:56,http://www.jjwxc.net/onebook.php?novelid=2528996
安碧莲,召唤玩家搞基建,原创-言情-架空历史-轻小说,轻松,完结,2000434,2433089792,2020-01-02 23:47:50,http://www.jjwxc.net/onebook.php?novelid=4479653
月下蝶影,如珠似玉,原创-言情-架空历史-爱情,轻松,完结,492386,2154841344,2015-11-26 13:59:52,http://www.jjwxc.net/onebook.php?novelid=2614609
