作者,作品,类型,风格,进度,字数,作品积分,发表时间,作品url
多木木多,瑞德罗特,衍生-言情-近代现代-东方衍生,正剧,完结,457377,434655328,2010-11-01 21:28:52,http://www.jjwxc.net/onebook.php?novelid=950773
江山沧澜,[综]穿到猎人当作家,衍生-言情-架空历史-东方衍生,正剧,完结,480067,586266496,2015-06-20 18:11:30,http://www.jjwxc.net/onebook.php?novelid=2482518
君子以泽,奥汀的祝福,原创-言情-架空历史-爱情,正剧,完结,434112,2170589696,2009-07-30 10:01:32,http://www.jjwxc.net/onebook.php?novelid=527967
南岛樱桃,神棍贾赦,衍生-言情-古色古香-古典衍生,轻松,完结,640288,522517824,2014-05-12 03:37:21,http://www.jjwxc.net/onebook.php?novelid=2123329
爱爬树的鱼,莫笑我胡为之颠覆妲己,原创-言情-架空历史-仙侠,轻松,完结,344820,524379520,2009-02-25 17:19:00,http://www.jjwxc.net/onebook.php?novelid=443389
四木,无方少年游,原创-言情-古色古香-爱情,正剧,完结,570613,421323616,2008-10-31 12:54:47,http://www.jjwxc.net/onebook.php?novelid=392920
priest,流光十五年,原创-言情-近代现代-爱情,轻松,完结,220017,2964597504,2010-10-01 18:44:43,http://www.jjwxc.net/onebook.php?novelid=907663
蜀客,穿越之第一夫君（2021修正版）,原创-言情-架空历史-爱情,正剧,完结,343063,606617792,2007-10-05 12:05:13,http://www.jjwxc.net/onebook.php?novelid=250152
月下蝶影,还珠之太后金安,衍生-言情-架空历史-东方衍生,轻松,完结,170395,1420075392,2010-05-05 16:04:16,http://www.jjwxc.net/onebook.php?novelid=720166
君子以泽,最后的女神,原创-言情-架空历史-奇幻,轻松,完结,397996,2775655936,2010-12-24 00:01:02,http://www.jjwxc.net/onebook.php?novelid=1017751
看泉听风,天启悠闲生活,原创-言情-架空历史-爱情,正剧,完结,419627,501548480,2009-12-24 19:26:50,http://www.jjwxc.net/onebook.php?novelid=622739
kinsalin,双网之音（网王同人）,衍生-言情-近代现代-东方衍生,轻松,完结,624210,347087648,2008-12-10 11:10:28,http://www.jjwxc.net/onebook.php?novelid=407259
SISIMO,[网王]森森翠微容,衍生-言情-近代现代-东方衍生,轻松,完结,169751,485251456,2010-11-09 00:40:15,http://www.jjwxc.net/onebook.php?novelid=959891
顾漫,何以笙箫默(全文地址见内),原创-言情-近代现代-爱情,正剧,完结,79027,223765440,2003-09-22 14:46:55,http://www.jjwxc.net/onebook.php?novelid=2456
雾矢翊,包子造人计划（网王）,衍生-言情-近代现代-东方衍生,轻松,完结,332938,429381600,2012-07-11 14:10:34,http://www.jjwxc.net/onebook.php?novelid=1568796
桃花露,穿越市井田园,原创-言情-古色古香-爱情,正剧,完结,624102,618471296,2010-06-28 11:02:22,http://www.jjwxc.net/onebook.php?novelid=761174
水心沙,宝珠鬼话,原创-言情-古色古香-惊悚,轻松,完结,599060,217641824,2006-08-31 15:25:08,http://www.jjwxc.net/onebook.php?novelid=128864
匪我思存,寂寞空庭春欲晚,原创-言情-古色古香-爱情,正剧,连载,180412,142217856,2004-10-30 23:10:57,http://www.jjwxc.net/onebook.php?novelid=19384
君子以泽,贵族,原创-言情-架空历史-爱情,正剧,完结,180924,1118408960,2008-02-16 19:45:41,http://www.jjwxc.net/onebook.php?novelid=291889
时镜,和珅是个妻管严,衍生-言情-古色古香-东方衍生,正剧,完结,710477,553561088,2014-02-07 22:45:52,http://www.jjwxc.net/onebook.php?novelid=2010346
匪我思存,碧甃沉（完结）,原创-言情-近代现代-爱情,悲剧,完结,171572,157591568,2005-03-15 15:05:04,http://www.jjwxc.net/onebook.php?novelid=31816
芙娅,综漫 无限反派,衍生-言情-架空历史-东方衍生,轻松,完结,785429,620739456,2009-03-02 12:21:23,http://www.jjwxc.net/onebook.php?novelid=445608
_惊鸿_,如 梦 令,原创-言情-古色古香-爱情,正剧,完结,466660,432084928,2007-03-30 23:19:36,http://www.jjwxc.net/onebook.php?novelid=180625
吕天逸,青行灯,原创-言情-近代现代-惊悚,暗黑,完结,170276,718747136,2009-05-07 20:07:35,http://www.jjwxc.net/onebook.php?novelid=474903
东篱菊隐,最禛心,原创-言情-古色古香-传奇,轻松,完结,572173,392079264,2007-11-13 15:12:40,http://www.jjwxc.net/onebook.php?novelid=262440
彼岸花开否,如果有一天（网王同人）,衍生-言情-古色古香-东方衍生,正剧,完结,585449,306517536,2007-03-15 13:20:26,http://www.jjwxc.net/onebook.php?novelid=176327
七宝酥,老师，太给力！,原创-言情-近代现代-爱情,轻松,完结,187837,529953536,2010-07-24 22:19:25,http://www.jjwxc.net/onebook.php?novelid=789815
扶华,[犬夜叉]奈落夫人的穿越记事,衍生-言情-架空历史-东方衍生,轻松,完结,170623,685634624,2013-04-08 13:02:59,http://www.jjwxc.net/onebook.php?novelid=1772167
君子以泽,黑色高跟鞋,原创-言情-架空历史-奇幻,正剧,完结,196441,1712306560,2007-03-31 15:08:51,http://www.jjwxc.net/onebook.php?novelid=180845
北倾,混成大神反被调戏,原创-言情-近代现代-游戏,轻松,完结,146745,667029184,2011-09-27 13:37:38,http://www.jjwxc.net/onebook.php?novelid=1325655
孟中泠,穿越之七侠五义,衍生-言情-古色古香-东方衍生,轻松,完结,556418,224177968,2008-04-30 22:37:45,http://www.jjwxc.net/onebook.php?novelid=316288
清渺,绝艳皇朝之诱魂,原创-言情-古色古香-爱情,正剧,完结,365187,185523616,2006-05-23 18:49:34,http://www.jjwxc.net/onebook.php?novelid=103361
明晓溪,烈火如歌I,原创-言情-古色古香-爱情,正剧,完结,129750,84404584,2003-08-02 09:33:30,http://www.jjwxc.net/onebook.php?novelid=487
姒姜,情何以堪,原创-言情-架空历史-爱情,正剧,完结,246709,123383616,2004-06-22 13:36:03,http://www.jjwxc.net/onebook.php?novelid=12512
芙娅,综漫 良善一念 为恶人间,衍生-言情-架空历史-东方衍生,轻松,完结,442939,368062944,2009-10-16 13:13:04,http://www.jjwxc.net/onebook.php?novelid=582917
时镜,[大汉天子]废后复仇,衍生-言情-古色古香-东方衍生,正剧,完结,498013,504285120,2013-12-08 21:35:14,http://www.jjwxc.net/onebook.php?novelid=1971415
蝶之灵,奔跑的蜗牛,原创-言情-近代现代-爱情,轻松,完结,214470,870135680,2009-05-03 01:44:37,http://www.jjwxc.net/onebook.php?novelid=472870
扶华,从尾巷开始,衍生-言情-架空历史-西方衍生,轻松,完结,237853,681493312,2013-02-04 19:57:23,http://www.jjwxc.net/onebook.php?novelid=1722284
凌凌君,男差女错,原创-言情-古色古香-武侠,轻松,完结,856901,123771032,2005-08-23 11:31:22,http://www.jjwxc.net/onebook.php?novelid=55325
子独,"『猎人同人』真的,什么,假的.（修完）",衍生-言情-架空历史-东方衍生,正剧,完结,405010,231538784,2006-09-30 19:06:18,http://www.jjwxc.net/onebook.php?novelid=134946
井汐,[网王]赤汐（当宅女遇到小海带）,衍生-言情-近代现代-东方衍生,轻松,完结,410452,201910112,2007-12-11 20:39:09,http://www.jjwxc.net/onebook.php?novelid=271008
同仁坑,曦世界（综漫）,衍生-言情-幻想未来-东方衍生,轻松,完结,656704,212857344,2007-09-07 10:04:56,http://www.jjwxc.net/onebook.php?novelid=241143
神月离人,网王穿越——颖武元天1,衍生-言情-近代现代-东方衍生,轻松,完结,373579,260224448,2006-06-10 22:04:45,http://www.jjwxc.net/onebook.php?novelid=107074
神月离人,网王同人-请叫我公主,衍生-言情-近代现代-东方衍生,轻松,完结,357256,214704576,2006-09-17 16:35:56,http://www.jjwxc.net/onebook.php?novelid=132457
葡萄,七宝项链,原创-言情-近代现代-奇幻,正剧,完结,195217,81214520,2005-10-02 00:20:59,http://www.jjwxc.net/onebook.php?novelid=61552
扶华,每次渡完魂都要给一只忠犬擦口水,衍生-言情-架空历史-东方衍生,轻松,完结,209573,683362816,2013-08-16 16:55:05,http://www.jjwxc.net/onebook.php?novelid=1889557
蝶之灵,遇见你就烂漫了,原创-言情-近代现代-爱情,轻松,完结,206186,700311744,2011-01-31 18:47:55,http://www.jjwxc.net/onebook.php?novelid=1080053
季风,竹枝词,原创-言情-古色古香-爱情,正剧,连载,362907,103003088,2004-05-07 19:41:54,http://www.jjwxc.net/onebook.php?novelid=11190
晴川,少年韦帅望之大隐于市,原创-言情-古色古香-武侠,轻松,完结,1205525,682271296,2007-07-09 01:24:18,http://www.jjwxc.net/onebook.php?novelid=214401
夜安,迷途,原创-言情-古色古香-爱情,正剧,完结,185845,187681536,2005-08-29 20:49:21,http://www.jjwxc.net/onebook.php?novelid=56627
楚湘云,清风吹散往事如烟灭,原创-言情-古色古香-爱情,正剧,完结,676050,587693888,2006-02-22 12:41:14,http://www.jjwxc.net/onebook.php?novelid=86428
淮上,论丐哥撩妹的可行性实用报告,衍生-言情-古色古香-东方衍生,轻松,完结,16416,2343550720,2017-04-15 19:17:19,http://www.jjwxc.net/onebook.php?novelid=3162099
明晓溪,泡沫之夏3,原创-言情-近代现代-爱情,正剧,完结,207300,293390368,2006-10-02 16:38:59,http://www.jjwxc.net/onebook.php?novelid=135293
蝶之灵,御姐江湖,原创-言情-近代现代-爱情,轻松,完结,221507,702750272,2012-03-16 17:51:39,http://www.jjwxc.net/onebook.php?novelid=1469663
顾漫,怀璧公主,原创-言情-古色古香-爱情,正剧,连载,10440,131766352,2003-09-23 18:18:31,http://www.jjwxc.net/onebook.php?novelid=2530
落千水,高达seed——星辰的光与影,衍生-言情-幻想未来-东方衍生,正剧,完结,1663683,179434880,2008-02-28 17:52:15,http://www.jjwxc.net/onebook.php?novelid=295983
曦宁若海月,帝王画眉,原创-言情-古色古香-爱情,正剧,完结,169292,235796480,2006-06-18 20:23:59,http://www.jjwxc.net/onebook.php?novelid=109034
晴川,青年韦帅望之不减狂傲,原创-言情-架空历史-武侠,轻松,完结,2106273,625789824,2009-08-10 09:35:04,http://www.jjwxc.net/onebook.php?novelid=537541
暝色,白衣传,原创-言情-古色古香-武侠,正剧,完结,258392,68720224,2003-12-07 17:32:42,http://www.jjwxc.net/onebook.php?novelid=5170
曦宁若海月,奉剑女（网王同人）,衍生-言情-近代现代-东方衍生,正剧,完结,203121,51151384,2006-01-12 10:57:24,http://www.jjwxc.net/onebook.php?novelid=77802
红花,王将,原创-言情-古色古香-传奇,正剧,连载,345726,95275056,2004-05-24 19:02:15,http://www.jjwxc.net/onebook.php?novelid=11772
忆锦,云中谁忆锦书来,原创-言情-古色古香-爱情,轻松,完结,428019,277520160,2008-01-30 18:32:43,http://www.jjwxc.net/onebook.php?novelid=285311
青色羽翼,流星街小卖店,衍生-言情-架空历史-东方衍生,轻松,完结,256852,576373888,2009-10-29 17:58:26,http://www.jjwxc.net/onebook.php?novelid=590709
井汐,[SD同人]苍之翼,衍生-言情-近代现代-东方衍生,正剧,完结,432584,222104640,2008-02-12 18:24:35,http://www.jjwxc.net/onebook.php?novelid=290254
蜀客,穿越之兰柯一梦,原创-言情-古色古香-爱情,正剧,完结,158512,189871328,2007-06-11 00:19:56,http://www.jjwxc.net/onebook.php?novelid=202388
楚湘云,清风吹散往事如烟灭，续,原创-言情-古色古香-爱情,正剧,完结,454675,305015936,2007-05-10 14:01:02,http://www.jjwxc.net/onebook.php?novelid=192873
寒烈,凤凰无双-释情(完),原创-言情-古色古香-爱情,正剧,完结,153060,62625896,2004-02-18 10:28:21,http://www.jjwxc.net/onebook.php?novelid=8121
姒姜,落蕊重芳,原创-言情-架空历史-爱情,正剧,完结,347831,92176920,2005-03-21 15:18:30,http://www.jjwxc.net/onebook.php?novelid=32442
水心沙,尼罗河之鹰-雷(尼罗河系列第一部),原创-言情-古色古香-爱情,正剧,完结,111008,46056592,2003-11-09 18:41:17,http://www.jjwxc.net/onebook.php?novelid=4375
舟洲,深宫风云之铿锵玫瑰,原创-言情-古色古香-爱情,正剧,连载,263677,98444720,2005-11-04 20:40:13,http://www.jjwxc.net/onebook.php?novelid=66006
北倾,TMD，李亚,原创-言情-近代现代-爱情,轻松,完结,16636,611425472,2012-06-02 15:58:09,http://www.jjwxc.net/onebook.php?novelid=1528496
君子以泽,魔女游戏规则,原创-言情-近代现代-爱情,轻松,完结,99373,655119168,2006-09-21 06:20:57,http://www.jjwxc.net/onebook.php?novelid=133147
之之,望天（穿越时空文）,原创-言情-古色古香-爱情,正剧,完结,118490,78635296,2004-09-28 16:27:06,http://www.jjwxc.net/onebook.php?novelid=17327
桃真真,红尘客,原创-言情-古色古香-爱情,轻松,完结,156787,63389064,2004-12-08 00:26:48,http://www.jjwxc.net/onebook.php?novelid=22467
残心,网王-真实,衍生-言情-近代现代-东方衍生,轻松,连载,119675,22311728,2006-03-30 20:53:11,http://www.jjwxc.net/onebook.php?novelid=93219
扶华,从头开始,衍生-言情-近代现代-西方衍生,轻松,完结,69580,642998784,2013-05-11 20:23:20,http://www.jjwxc.net/onebook.php?novelid=1795627
沈夜,疑情记,原创-言情-古色古香-爱情,正剧,暂停,246274,98461800,2005-06-08 09:33:50,http://www.jjwxc.net/onebook.php?novelid=41048
夏光明媚的麦田,(灌高同人)17岁的柠檬茶,衍生-言情-古色古香-东方衍生,轻松,连载,216654,21682334,2005-05-15 15:19:57,http://www.jjwxc.net/onebook.php?novelid=37925
之之,（望天第二部）将军明若,原创-言情-古色古香-爱情,正剧,连载,230362,195503616,2004-12-21 23:21:32,http://www.jjwxc.net/onebook.php?novelid=23589
小蜜儿,网王同人---他还是她?（大修）,衍生-言情-近代现代-东方衍生,轻松,暂停,262390,46501804,2006-04-26 00:04:31,http://www.jjwxc.net/onebook.php?novelid=97801
净植,天香记,原创-言情-架空历史-爱情,轻松,完结,176978,36307624,2004-01-14 12:45:19,http://www.jjwxc.net/onebook.php?novelid=6477
之之,还我与梦（新版）,原创-言情-古色古香-爱情,正剧,连载,142627,362622400,2006-03-20 21:16:49,http://www.jjwxc.net/onebook.php?novelid=91370
悦乙,乱尘之风,衍生-言情-幻想未来-东方衍生,正剧,完结,322552,36454076,2006-03-12 07:22:17,http://www.jjwxc.net/onebook.php?novelid=90001
花无痕,熹妃（上部）之王府沉浮,原创-言情-古色古香-传奇,正剧,完结,193007,84675064,2004-07-01 11:31:32,http://www.jjwxc.net/onebook.php?novelid=12773
Kaede·Hirakawa,Slavery（光速同人）,衍生-言情-近代现代-东方衍生,轻松,完结,837689,76715448,2007-05-11 23:23:55,http://www.jjwxc.net/onebook.php?novelid=193295
ane,好山好水好花儿（完）,原创-言情-近代现代-爱情,正剧,完结,543959,137155536,2005-03-17 08:15:21,http://www.jjwxc.net/onebook.php?novelid=32002
野马原之月,我和天师有个约会,衍生-言情-未知-东方衍生,正剧,连载,227388,6473014,2005-07-03 07:22:13,http://www.jjwxc.net/onebook.php?novelid=45182
ane,好山好水好花儿（新篇）（完）,原创-言情-近代现代-爱情,正剧,完结,583345,100176184,2005-06-15 17:05:55,http://www.jjwxc.net/onebook.php?novelid=42195
雪之岚,塔罗物语,衍生-言情-近代现代-东方衍生,正剧,完结,245125,4237951,2004-07-21 22:28:02,http://www.jjwxc.net/onebook.php?novelid=13695
冷泠,新再生缘2（丽君之凤翔天翼）,衍生-言情-古色古香-东方衍生,正剧,连载,139842,17418444,2005-04-04 21:08:47,http://www.jjwxc.net/onebook.php?novelid=33969
水之赛冰,玩  转（游戏规则后篇）,原创-言情-古色古香-爱情,悲剧,完结,93913,33288928,2004-01-19 17:41:55,http://www.jjwxc.net/onebook.php?novelid=6719
滚滚d虫,我本平凡,衍生-言情-架空历史-东方衍生,正剧,完结,145199,8733815,2004-11-27 15:20:51,http://www.jjwxc.net/onebook.php?novelid=21603
飞花（JJ）,西域之英雄传说（塞外奇侠演绎篇）,衍生-言情-古色古香-东方衍生,正剧,完结,33504,9098858,2004-04-15 09:05:10,http://www.jjwxc.net/onebook.php?novelid=10437
魍魉姬*蓝雪,窦明番外（非九重紫作者）,衍生-言情-古色古香-东方衍生,正剧,完结,286716,19969716,2004-04-11 22:21:37,http://www.jjwxc.net/onebook.php?novelid=10348
